recipeId,title,cuisineId,archetype,suitableFor,keyIngredients,currentImageUrl,imageStatus,visualDescription,targetFilename
"rec_roast_01","Classic Roast Chicken","french","Staple","dinner, lunch","Classic Roast Chicken","https://images.unsplash.com/photo-MsIX4c1aP7A?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Classic Roast Chicken, featuring Classic Roast Chicken. Natural lighting, overhead shot.","recipe_rec_roast_01.webp"
"rec_pasta_01","Quick Tomato Pasta","italian","Quick_Fix","lunch, dinner","Quick Tomato Pasta","https://images.unsplash.com/photo-Qp0VyysIuzs?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Quick Tomato Pasta, featuring Quick Tomato Pasta. Natural lighting, overhead shot.","recipe_rec_pasta_01.webp"
"rec_lentil_01","Spiced Lentil & Bean Stew","mediterranean","budget_workhorse","dinner, lunch","Spiced Lentil & Bean Stew","https://images.unsplash.com/photo-1547592166-23ac45744acd?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Spiced Lentil & Bean Stew, featuring Spiced Lentil & Bean Stew. Natural lighting, overhead shot.","recipe_rec_lentil_01.webp"
"rec_vegan_steak_01","Seitan ","french","premium_meal","dinner","Seitan ","https://images.unsplash.com/photo-6DT8J3nZUPE?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Seitan , featuring Seitan . Natural lighting, overhead shot.","recipe_rec_vegan_steak_01.webp"
"rec_vegan_tempeh_01","Smoky Tempeh & Peanut Stir-fry","chinese","Staple","lunch, dinner","Smoky Tempeh & Peanut Stir-fry","https://images.unsplash.com/photo-0kD2Wp67wQk?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Smoky Tempeh & Peanut Stir-fry, featuring Smoky Tempeh & Peanut Stir-fry. Natural lighting, overhead shot.","recipe_rec_vegan_tempeh_01.webp"
"rec_veggie_halloumi_01","Baked Halloumi & Mediterranean Veg","mediterranean","Staple","dinner","Baked Halloumi & Mediterranean Veg","https://images.unsplash.com/photo-1594970544699-c88f38bb67cc?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Baked Halloumi & Mediterranean Veg, featuring Baked Halloumi & Mediterranean Veg. Natural lighting, overhead shot.","recipe_rec_veggie_halloumi_01.webp"
"rec_vegan_scramble_01","Smoky Tofu Scramble","chinese","protein_breakfast","breakfast","Smoky Tofu Scramble","https://images.unsplash.com/photo-rJ-a9JlgWEc?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Smoky Tofu Scramble, featuring Smoky Tofu Scramble. Natural lighting, overhead shot.","recipe_rec_vegan_scramble_01.webp"
"rec_vegan_tikka_01","Tofu & Chickpea Tikka Masala","indian","High_Protein","lunch, dinner","Tofu & Chickpea Tikka Masala","https://images.unsplash.com/photo-1565557612088-71eab05dfaee?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Tofu & Chickpea Tikka Masala, featuring Tofu & Chickpea Tikka Masala. Natural lighting, overhead shot.","recipe_rec_vegan_tikka_01.webp"
"rec_vegan_meatloaf_01","Lentil & Walnut ","french","High_Protein","dinner","Lentil & Walnut ","https://images.unsplash.com/photo-_bILufSltJM?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Lentil & Walnut , featuring Lentil & Walnut . Natural lighting, overhead shot.","recipe_rec_vegan_meatloaf_01.webp"
"rec_vegan_oats_01","Peanut Butter & Hemp Seed Overnight Oats","mediterranean","protein_breakfast","breakfast","Peanut Butter & Hemp Seed Overnight Oats","https://images.unsplash.com/photo-1517673132405-a56a62b18caf?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Peanut Butter & Hemp Seed Overnight Oats, featuring Peanut Butter & Hemp Seed Overnight Oats. Natural lighting, overhead shot.","recipe_rec_vegan_oats_01.webp"
"rec_vegan_tempeh_bowl_01","Tempeh ","mexican","High_Protein","lunch, dinner","Tempeh ","https://images.unsplash.com/photo-j6GwMrgeL_A?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Tempeh , featuring Tempeh . Natural lighting, overhead shot.","recipe_rec_vegan_tempeh_bowl_01.webp"
"rec_vegan_omelette_01","Savory Chickpea Flour ","french","protein_breakfast","breakfast","Savory Chickpea Flour ","https://images.unsplash.com/photo-PeA56-Gt7Dw?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Savory Chickpea Flour , featuring Savory Chickpea Flour . Natural lighting, overhead shot.","recipe_rec_vegan_omelette_01.webp"
"rec_veggie_shells_01","Cottage Cheese & Spinach Stuffed Shells","italian","High_Protein","dinner","Cottage Cheese & Spinach Stuffed Shells","https://images.unsplash.com/photo-xd5mqeeg9qE?q=80&w=800&auto=format&fit=crop&uid=v60akm","suspect","Professional gourmet food photography of Cottage Cheese & Spinach Stuffed Shells, featuring Cottage Cheese & Spinach Stuffed Shells. Natural lighting, overhead shot.","recipe_rec_veggie_shells_01.webp"
"rec_veggie_mutter_paneer_01","Paneer & Pea Curry (Mutter Paneer)","indian","High_Protein","lunch, dinner","Paneer & Pea Curry (Mutter Paneer)","https://images.unsplash.com/photo-AEU9UZstCfs?q=80&w=800&auto=format&fit=crop&uid=k5gblc","suspect","Professional gourmet food photography of Paneer & Pea Curry (Mutter Paneer), featuring Paneer & Pea Curry (Mutter Paneer). Natural lighting, overhead shot.","recipe_rec_veggie_mutter_paneer_01.webp"
"rec_veggie_feta_wrap_01","Greek Yogurt & Feta Protein Wraps","mediterranean","High_Protein","lunch","Greek Yogurt & Feta Protein Wraps","https://images.unsplash.com/photo-1626700051175-6818013e1d4f?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Greek Yogurt & Feta Protein Wraps, featuring Greek Yogurt & Feta Protein Wraps. Natural lighting, overhead shot.","recipe_rec_veggie_feta_wrap_01.webp"
"rec_pesci_seabass_01","Pan-Seared Seabass with Cannellini Bean Mash","mediterranean","High_Protein","dinner","Pan-Seared Seabass with Cannellini Bean Mash","https://images.unsplash.com/photo-1467003909585-2f8a72700288?q=80&w=800&auto=format&fit=crop&uid=pao9f","suspect","Professional gourmet food photography of Pan-Seared Seabass with Cannellini Bean Mash, featuring Pan-Seared Seabass with Cannellini Bean Mash. Natural lighting, overhead shot.","recipe_rec_pesci_seabass_01.webp"
"rec_pesci_salmon_bagel_01","Smoked Salmon & Cream Cheese Protein Bagel","japanese","protein_breakfast","breakfast","Smoked Salmon & Cream Cheese Protein Bagel","https://images.unsplash.com/photo-1509339020286-1e6ac2bb1b61?q=80&w=800&auto=format&fit=crop&uid=ox1xdk","suspect","Professional gourmet food photography of Smoked Salmon & Cream Cheese Protein Bagel, featuring Smoked Salmon & Cream Cheese Protein Bagel. Natural lighting, overhead shot.","recipe_rec_pesci_salmon_bagel_01.webp"
"rec_wave1_yogurt_bowl_01","Greek Yogurt & Mixed Berry Protein Bowl","unknown","protein_breakfast","breakfast","Greek Yogurt & Mixed Berry Protein Bowl","https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Greek Yogurt & Mixed Berry Protein Bowl, featuring Greek Yogurt & Mixed Berry Protein Bowl. Natural lighting, overhead shot.","recipe_rec_wave1_yogurt_bowl_01.webp"
"rec_wave1_cottage_toast_01","Cottage Cheese & Smashed Avocado Sourdough","unknown","budget_breakfast","breakfast","Cottage Cheese & Smashed Avocado Sourdough","https://images.unsplash.com/photo-_3iaS5NstQY?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Cottage Cheese & Smashed Avocado Sourdough, featuring Cottage Cheese & Smashed Avocado Sourdough. Natural lighting, overhead shot.","recipe_rec_wave1_cottage_toast_01.webp"
"rec_wave1_tuna_bean_salad_01","10-Min Tuna & Cannellini Bean Lemon Salad","unknown","budget_workhorse","lunch","10-Min Tuna & Cannellini Bean Lemon Salad","https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=800&auto=format&fit=crop","placeholder","Professional gourmet food photography of 10-Min Tuna & Cannellini Bean Lemon Salad, featuring 10-Min Tuna & Cannellini Bean Lemon Salad. Natural lighting, overhead shot.","recipe_rec_wave1_tuna_bean_salad_01.webp"
"rec_wave1_tofu_wrap_01","Smoked Tofu, Hummus & Cucumber Wrap","unknown","Variety_Pack","lunch","Smoked Tofu, Hummus & Cucumber Wrap","https://images.unsplash.com/photo-1549590143-d5855148a9d5?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Smoked Tofu, Hummus & Cucumber Wrap, featuring Smoked Tofu, Hummus & Cucumber Wrap. Natural lighting, overhead shot.","recipe_rec_wave1_tofu_wrap_01.webp"
"rec_wave1_chicken_bowl_01","Classic Lemon Herb Chicken & Quinoa","unknown","budget_workhorse","dinner, lunch","Classic Lemon Herb Chicken & Quinoa","https://images.unsplash.com/photo-8LxEnrfgjgg?q=80&w=800&auto=format&fit=crop","suspect","Professional gourmet food photography of Classic Lemon Herb Chicken & Quinoa, featuring Classic Lemon Herb Chicken & Quinoa. Natural lighting, overhead shot.","recipe_rec_wave1_chicken_bowl_01.webp"
