recipeId,title,cuisineId,archetype,suitableFor,keyIngredients,currentImageUrl,imageStatus,visualDescription,targetFilename
"rec_wave1_tuna_bean_salad_01","10-Min Tuna & Cannellini Bean Lemon Salad","unknown","budget_workhorse","lunch","10-Min Tuna & Cannellini Bean Lemon Salad","https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=800&auto=format&fit=crop","placeholder","Gourmet food photography of 10-Min Tuna & Cannellini Bean Lemon Salad, a delicious budget workhorse. Highly detailed shot featuring 10-Min Tuna & Cannellini Bean Lemon Salad. The dish is as a fresh lunch plate, vibrant colors, clean composition, natural overhead lighting, appetizing texture. Professional commercial styling, 8k resolution, elegant presentation.","recipe_rec_wave1_tuna_bean_salad_01.webp"
"rec_wave1_chickpea_curry_01","Simple Coconut Chickpea & Spinach Curry","unknown","Batch_Cook","dinner, lunch","Simple Coconut Chickpea & Spinach Curry","https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?q=80&w=800&auto=format&fit=crop","placeholder","Gourmet food photography of Simple Coconut Chickpea & Spinach Curry, a delicious batch cook. Highly detailed shot featuring Simple Coconut Chickpea & Spinach Curry. The dish is as a fresh lunch plate, rich steam, deep colors, swirling cream or garnish, rustic bowl. Professional commercial styling, 8k resolution, elegant presentation.","recipe_rec_wave1_chickpea_curry_01.webp"
"w2_r1_lamb","Slow-Roast Lamb Shoulder with Roots","unknown","premium_meal","dinner","lamb shoulder, potato","","missing","Gourmet food photography of Slow-Roast Lamb Shoulder with Roots, a delicious premium meal. Highly detailed shot featuring lamb shoulder, potato. The dish is plated as a hearty evening dinner, vibrant colors, clean composition, natural overhead lighting, appetizing texture. Professional commercial styling, 8k resolution, elegant presentation.","recipe_w2_r1_lamb.webp"
"w2_r2_risotto","Wild Mushroom & Truffle Risotto","unknown","premium_meal","dinner","arborio rice, mixed mushrooms","","missing","Gourmet food photography of Wild Mushroom & Truffle Risotto, a delicious premium meal. Highly detailed shot featuring arborio rice, mixed mushrooms. The dish is plated as a hearty evening dinner, vibrant colors, clean composition, natural overhead lighting, appetizing texture. Professional commercial styling, 8k resolution, elegant presentation.","recipe_w2_r2_risotto.webp"
"w2_r3_sausage_tray","Sheet Pan Sausage & Sweet Potato","unknown","Batch_Cook","dinner, lunch","sausage, sweet potato","","missing","Gourmet food photography of Sheet Pan Sausage & Sweet Potato, a delicious batch cook. Highly detailed shot featuring sausage, sweet potato. The dish is as a fresh lunch plate, vibrant colors, clean composition, natural overhead lighting, appetizing texture. Professional commercial styling, 8k resolution, elegant presentation.","recipe_w2_r3_sausage_tray.webp"
"w2_r4_caprese_chicken","Oven-Baked Caprese Chicken & Veg","unknown","Batch_Cook","dinner, lunch","chicken breast, mozzarella","","missing","Gourmet food photography of Oven-Baked Caprese Chicken & Veg, a delicious batch cook. Highly detailed shot featuring chicken breast, mozzarella. The dish is as a fresh lunch plate, vibrant colors, clean composition, natural overhead lighting, appetizing texture. Professional commercial styling, 8k resolution, elegant presentation.","recipe_w2_r4_caprese_chicken.webp"
"w2_r5_lentil_stew","Hearty Lentil & Vegetable Stew","unknown","budget_workhorse","dinner, lunch","green lentils, vegetable stock","","missing","Gourmet food photography of Hearty Lentil & Vegetable Stew, a delicious budget workhorse. Highly detailed shot featuring green lentils, vegetable stock. The dish is as a fresh lunch plate, rich steam, deep colors, swirling cream or garnish, rustic bowl. Professional commercial styling, 8k resolution, elegant presentation.","recipe_w2_r5_lentil_stew.webp"
"w2_r6_black_bean_quinoa","Spicy Black Bean & Quinoa Bowl","unknown","Variety_Pack","dinner, lunch","black beans, quinoa","","missing","Gourmet food photography of Spicy Black Bean & Quinoa Bowl, a delicious variety pack. Highly detailed shot featuring black beans, quinoa. The dish is as a fresh lunch plate, vibrant colors, clean composition, natural overhead lighting, appetizing texture. Professional commercial styling, 8k resolution, elegant presentation.","recipe_w2_r6_black_bean_quinoa.webp"
"w2_r7_chickpea_sandwich","Smashed Chickpea & Dill Sandwich","unknown","budget_workhorse","lunch","chickpeas, whole wheat bread","","missing","Gourmet food photography of Smashed Chickpea & Dill Sandwich, a delicious budget workhorse. Highly detailed shot featuring chickpeas, whole wheat bread. The dish is as a fresh lunch plate, vibrant colors, clean composition, natural overhead lighting, appetizing texture. Professional commercial styling, 8k resolution, elegant presentation.","recipe_w2_r7_chickpea_sandwich.webp"
"w2_r8_egg_salad_wrap","Quick Egg Salad Lettuce Wraps","unknown","budget_workhorse","lunch","egg, gem lettuce","","missing","Gourmet food photography of Quick Egg Salad Lettuce Wraps, a delicious budget workhorse. Highly detailed shot featuring egg, gem lettuce. The dish is as a fresh lunch plate, vibrant colors, clean composition, natural overhead lighting, appetizing texture. Professional commercial styling, 8k resolution, elegant presentation.","recipe_w2_r8_egg_salad_wrap.webp"
